,name,task_types,num_classes,num_samples,domains,imbalance_ratios,datasets,keywords,dimensions,max_resolution,min_resolution
43,hyperkvasir_therapeutic-interventions,classification,2,1991,gastroscopy_colonoscopy,1.01314459049545,hyperkvasir,"['gastroscopy_colonoscopy', 'medical']",17,1455571,161500
44,identify_nbi_infframes,classification,4,720,laryngoscopy,1.0,nbi_infframes,"['endoscopy', 'image_artefacts', 'laryngoscopy', 'medical']",4,1852416,1395900
45,idle_action_recognition,classification,2,18000,cataract_surgery,1.0,idle_action,"['cataract_surgery', 'eye', 'medical']",7,388800,388800
46,isic20_melanoma_classification,classification,2,32701,dermatoscopy,55.28399311531842,isic20,"['dermatoscopy', 'medical', 'tissue_pathology']",10,36000000,307200
47,kvasir_capsule_anatomy,classification,2,5718,capsule endoscopy,2.7396991497710923,kvasir_capsule,"['anatomical structures', 'capsule endoscopy', 'endoscopy', 'medical']",7,112896,112896
48,kvasir_capsule_content,classification,4,38466,capsule endoscopy,76.99103139013452,kvasir_capsule,"['capsule endoscopy', 'endoscopy', 'medical']",11,112896,112896
49,kvasir_capsule_pathologies,classification,5,37156,capsule endoscopy,67.86166007905139,kvasir_capsule,"['capsule endoscopy', 'endoscopy', 'medical', 'tissue_pathology']",11,112896,112896
50,lapgyn4_anatomical_actions,classification,4,4782,laparoscopy,2.9523809523809526,lapgyn4,"['gynecology', 'anatomical structures', 'laparoscopy', 'medical']",19,327680,230400
51,lapgyn4_anatomical_structures,classification,5,2728,laparoscopy,8.420289855072463,lapgyn4,"['gynecology', 'anatomical structures', 'laparoscopy', 'medical']",13,1166400,1166400
52,lapgyn4_instrument_count,classification,4,21424,laparoscopy,1.1234326018808778,lapgyn4,"['gynecology', 'counting endoscopic instruments', 'endoscopic instruments', 'laparoscopy', 'medical']",19,2073600,172800
53,lapgyn4_surgical_actions,classification,8,30682,laparoscopy,10.89789029535865,lapgyn4,"['gynecology', 'endoscopic instruments', 'laparoscopy', 'medical']",20,1166400,1166400
54,laryngeal_tissues,classification,4,1320,laryngoscopy,1.0,laryngeal,"['endoscopy', 'laryngoscopy', 'medical', 'tissue_pathology']",7,10404,9800
55,mednode_melanoma_classification,classification,2,170,dermatoscopy,1.4285714285714286,mednode,"['dermatoscopy', 'medical', 'tissue_pathology']",8,6230097,51657
56,mnist_digit_classification,classification,10,60000,handwritings,1.243681977494927,mnist,"['chars_or_digits', 'handwritings']",8,784,784
57,mura_xr_elbow,classification,2,4931,x_ray,1.4581256231306081,mura,"['bone', 'medical', 'tissue_pathology', 'x_ray']",12,262144,37018
58,mura_xr_finger,classification,2,5106,x_ray,1.5945121951219512,mura,"['bone', 'medical', 'tissue_pathology', 'x_ray']",13,262144,14418
59,mura_xr_forearm,classification,2,1825,x_ray,1.7609682299546143,mura,"['bone', 'medical', 'tissue_pathology', 'x_ray']",10,262144,15444
60,mura_xr_hand,classification,2,5543,x_ray,2.7351752021563343,mura,"['bone', 'medical', 'tissue_pathology', 'x_ray']",13,262144,43520
61,mura_xr_humerus,classification,2,1272,x_ray,1.1235392320534223,mura,"['bone', 'medical', 'tissue_pathology', 'x_ray']",10,262144,30624
62,mura_xr_shoulder,classification,2,8379,x_ray,1.01031669865643,mura,"['bone', 'medical', 'tissue_pathology', 'x_ray']",10,262144,31312
63,mura_xr_wrist,classification,2,9752,x_ray,1.4459493353398545,mura,"['bone', 'medical', 'tissue_pathology', 'x_ray']",12,262144,29213
64,nerthus_bowel_cleansing_quality,classification,4,5525,gastroscopy_colonoscopy,5.4,nerthus,"['endoscopy', 'gastroscopy_colonoscopy', 'medical']",5,414720,414720
65,ph2-melanocytic-lesions-classification,classification,3,200,dermatoscopy,2.0,PH2,"['dermatoscopy', 'medical', 'tissue_pathology']",7,443713,420833
66,pneumonia_classification,classification,2,5232,x_ray,2.878428465530022,pneumonia,"['chest', 'medical', 'tissue_pathology', 'x_ray']",14,7765308,48768
67,shenzen_chest_xray_tuberculosis,classification,2,662,x_ray,1.030674846625767,shenzhen_xray_tb,"['chest', 'medical', 'tissue_pathology', 'x_ray']",10,9006001,1071240
68,sklin2_skin_lesions,classification,8,280,dermatoscopy,19.4,sklin2,"['dermatoscopy', 'medical', 'tissue_pathology']",10,2073600,2073600
69,stanford_dogs_image_categorization,classification,119,20429,natural_objects,1.7027027027027026,stanford_dogs,"['animals', 'natural_objects']",18,8362368,9700
70,svhn,classification,10,73257,natural_objects,2.975101953208843,svhn,"['chars_or_digits', 'natural_objects']",11,1024,1024
